"Entity","Attribute","Classword_Type","Teradata_Type","PK","Required","Description","Parent_Entity"
"ACCESS_DEVICE_LIMIT","Access_Device_Limit_Amt","Classword_Amount","DECIMAL(18,4)","","N","The limit expressed as an amount.",""
"ACCESS_DEVICE_LIMIT","Unit_Of_Measure_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples: - For volume: milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: square inch, acre, and square kilometer - For units: each, carton, byte, and piece - For connect speed: kilobits/second - For loyalty units: points, miles, and kilomete",""
"ACCESS_DEVICE_LIMIT","Currency_Cd","Classword_Code","VARCHAR(50)","","N","The code for the currency.  Examples: - U.S. dollars - Canadian dollars - Japanese yen",""
"ACCESS_DEVICE_METHOD_TYPE","Access_Device_Method_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code entity describes the access method of an access device event such as magnetic stripe, chip, and optical.",""
"ACCESS_DEVICE_METHOD_TYPE","Access_Device_Method_Type_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ACCESS_DEVICE_PIN","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.",""
"ACCESS_DEVICE_PIN","Access_Device_PIN_Issue_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The date the personal identification number is issued to the ACCESS DEVICE.",""
"ACCESS_DEVICE_PIN","Access_Device_PIN_Num","Classword_Number","VARCHAR(50)","Y","Y","The personal identification number issued to the ACCESS DEVICE.",""
"ACCESS_DEVICE_PIN","Access_Device_PIN_Mailing_Dttm","Classword_Datetime","TIMESTAMP","","N","The date the personal identification number is mailed to the ACCESS DEVICE holder.",""
"ACCESS_DEVICE_PIN","Access_Device_PIN_Reason_Cd","Classword_Code","VARCHAR(50)","","N","A code describes the reason a PIN number is issued for an ACCESS DEVICE, for example, first issue and replacement.",""
"ACCESS_DEVICE_PIN","Access_Device_Customer_Ind","Classword_Indicator","CHAR(1)","","N","Indicates that this PIN was assigned by the customer as opposed to being system assigned.",""
"ACCESS_DEVICE_PIN_REASON_TYPE","Access_Device_PIN_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code describes the reason a PIN number is issued to an ACCESS DEVICE, for example, first issue and replacement.",""
"ACCESS_DEVICE_PIN_REASON_TYPE","Access_Device_PIN_Reason_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ACCESS_DEVICE_REASON_TYPE","Access_Device_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique code for the reason for an ACCESS DEVICE status. For example, if the Access Device Status Cd is 'inactivated,' then this is the code for the reason that a card was inactivated such as over the credit limit.",""
"ACCESS_DEVICE_REASON_TYPE","Access_Device_Reason_Desc","Classword_Description","VARCHAR(500)","","N","The description of the code.",""
"ACCESS_DEVICE_RELATED","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.",""
"ACCESS_DEVICE_RELATED","Related_Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.",""
"ACCESS_DEVICE_RELATED","Access_Device_Related_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique code for the relationship that one ACCESS DEVICE has with another ACCESS DEVICE such as replaces.",""
"ACCESS_DEVICE_RELATED","Access_Device_Related_Start_Dt","Classword_Date","DATE","Y","Y","The date the cards began a relationship.",""
"ACCESS_DEVICE_RELATED","Access_Device_Related_End_Dt","Classword_Date","DATE","","N","The date the card relationship stopped.",""
"ACCESS_DEVICE_RELATED_TYPE","Access_Device_Related_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique code for the relationship that one ACCESS DEVICE has with another ACCESS DEVICE such as replaces.",""
"ACCESS_DEVICE_RELATED_TYPE","Access_Device_Relate_Type_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ACCESS_DEVICE_STATUS","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.",""
"ACCESS_DEVICE_STATUS","Access_Device_Status_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The start date and time of this status for the access device.",""
