"Parent_Entity","Child_Entity","Cardinality","FK_Columns","Relationship_Type"
"AGREEMENT_CLASS_SCHEME_TYPE","PRODUCT_TO_AGREEMENT_CLASS_VALUE","0:M","","association"
"AGREEMENT_CLASS_VALUE","AGREEMENT_AGREEMENT_CLASS_XREF","0:M","","association"
"AGREEMENT_CLASS_VALUE","AGREEMENT_CLASS_ADJUSTMENT_PARAMETER","0:M","","association"
"AGREEMENT_CLASS_VALUE","AGREEMENT_CLASS_RISK_GRADE","0:M","","association"
"AGREEMENT_CLASS_VALUE","AGREEMENT_CLASS_SUBJECT","0:1","","association"
"AGREEMENT_CLASS_VALUE","AGREEMENT_CLASS_VALUE","0:M","","association"
"AGREEMENT_CLASS_VALUE","BASEL_II_LGD_NO_COLLATERAL_PARAMETER","0:M","","association"
"AGREEMENT_CLASS_VALUE","LOSS_GIVEN_DEFAULT_RISK_GRADE_VALUE","0:M","","association"
"AGREEMENT_CLASS_VALUE","PRODUCT_TO_AGREEMENT_CLASS_VALUE","0:M","","association"
"AGREEMENT_COVERAGE_EVENT_BASE_TYPE","AGREEMENT_COVERAGE_EVENT","0:M","","association"
"AGREEMENT_COVERAGE_EVENT_CATEGORY","AGREEMENT_COVERAGE_EVENT","0:M","","association"
"AGREEMENT_COVERAGE_EVENT_TYPE","AGREEMENT_COVERAGE_EVENT","0:M","","association"
"AGREEMENT_DATE_TYPE","AGREEMENT_DATE","0:M","","association"
"AGREEMENT_EVENT_TYPE","AGREEMENT_EVENT","0:M","","association"
"AGREEMENT_FEATURE","AGREEMENT_FEATURE_METRIC","0:M","","association"
"AGREEMENT_FEATURE","AGREEMENT_FEATURE_RELATED","0:M","","association"
"AGREEMENT_FEATURE","POLICY_COVERAGE_METRIC","0:M","","association"
"AGREEMENT_FEATURE_GROUP_ROLE","AGREEMENT_FEATURE_GROUP","0:M","","association"
"AGREEMENT_FEATURE_METRIC_TYPE","AGREEMENT_FEATURE_METRIC","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","AGREEMENT_FEATURE","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","AGREEMENT_FEATURE_RELATED","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","AGREEMENT_PRODUCT_FEATURE","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","AGREEMENT_PRODUCT_FEATURE_RELATED","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","APPLICATION_FEATURE","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","APPLICATION_FEATURE_RELATED","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","QUOTATION_FEATURE","0:M","","association"
"AGREEMENT_FEATURE_ROLE_TYPE","QUOTATION_FEATURE_RELATED","0:M","","association"
"AGREEMENT_FORMAT_TYPE","AGREEMENT","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_AGREEMENT_GROUP","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_BALANCE","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_CHART_OF_ACCOUNTS","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_CRITERION","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_EVENT","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_FEATURE","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_LIMIT","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_METRIC","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_RELATED_is_related_to","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_RELATED_is_related_with","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_RISK","0:M","","association"
