"Parent","Child","Cardinality","FK_Columns","Relationship_Name"
"HR POSITION SITE REASON","BOND PAYMENT SCHEDULE","1:M","Letter","HR POSITION SITE REASON -> BOND PAYMENT SCHEDULE"
"HR POSITION SITE REASON","CELL TARGET CHANNEL INSTANCE","1:M","Letter","HR POSITION SITE REASON -> CELL TARGET CHANNEL INSTANCE"
"HR POSITION SITE REASON","CHANNEL TYPE SUBTYPE","1:M","Letter","HR POSITION SITE REASON -> CHANNEL TYPE SUBTYPE"
"HR POSITION SITE REASON","CREDIT RATING","1:M","Letter","HR POSITION SITE REASON -> CREDIT RATING"
"HR POSITION SITE REASON","CUSTOMER NAME","1:M","Letter","HR POSITION SITE REASON -> CUSTOMER NAME"
"HR POSITION SITE REASON","EVENT CHANNEL INSTANCE","1:M","Letter","HR POSITION SITE REASON -> EVENT CHANNEL INSTANCE"
"HR POSITION SITE REASON","FEATURE GROUP METRIC","1:M","Letter","HR POSITION SITE REASON -> FEATURE GROUP METRIC"
"HR POSITION SITE REASON","GEOPOLITICAL AREA","1:M","Letter","HR POSITION SITE REASON -> GEOPOLITICAL AREA"
"HR POSITION SITE REASON","GL MAIN ACCOUNT SCHEME TYPE","1:M","Letter","HR POSITION SITE REASON -> GL MAIN ACCOUNT SCHEME TYPE"
"HR POSITION SITE REASON","IMPRESSION DELIVERY STATUS","1:M","Letter","HR POSITION SITE REASON -> IMPRESSION DELIVERY STATUS"
"HR POSITION SITE REASON","INCIDENT PERIL TYPE","1:M","Letter","HR POSITION SITE REASON -> INCIDENT PERIL TYPE"
"HR POSITION SITE REASON","INCOME STATEMENT GL MAIN ACCOUNT","1:M","Letter","HR POSITION SITE REASON -> INCOME STATEMENT GL MAIN ACCOUNT"
"HR POSITION SITE REASON","INSURABLE INTEREST","1:M","Letter","HR POSITION SITE REASON -> INSURABLE INTEREST"
"HR POSITION SITE REASON","INTEREST RATE QUOTATION","1:M","Letter","HR POSITION SITE REASON -> INTEREST RATE QUOTATION"
"HR POSITION SITE REASON","INTERNAL SEARCH RESULT CONTENT","1:M","Letter","HR POSITION SITE REASON -> INTERNAL SEARCH RESULT CONTENT"
"HR POSITION SITE REASON","LEGAL ENTITY IDENTIFIER","1:M","Letter","HR POSITION SITE REASON -> LEGAL ENTITY IDENTIFIER"
"HR POSITION SITE REASON","LINE OF BUSINESS CLASSIFICATION SCHEME","1:M","Letter","HR POSITION SITE REASON -> LINE OF BUSINESS CLASSIFICATION SCHEME"
"HR POSITION SITE REASON","MARKET FEED","1:M","Letter","HR POSITION SITE REASON -> MARKET FEED"
"HR POSITION SITE REASON","MEASUREMENT DIAGNOSTIC TYPE","1:M","Letter","HR POSITION SITE REASON -> MEASUREMENT DIAGNOSTIC TYPE"
"HR POSITION SITE REASON","MONITOR SITE AUTHOR","1:M","Letter","HR POSITION SITE REASON -> MONITOR SITE AUTHOR"
"HR POSITION SITE REASON","NAMED INSUREDS","1:M","Letter","HR POSITION SITE REASON -> NAMED INSUREDS"
"HR POSITION SITE REASON","PARTY AGREEMENT METRIC","1:M","Letter","HR POSITION SITE REASON -> PARTY AGREEMENT METRIC"
"HR POSITION SITE REASON","PARTY ASSET STATUS TYPE","1:M","Letter","HR POSITION SITE REASON -> PARTY ASSET STATUS TYPE"
"HR POSITION SITE REASON","PARTY GRIEVANCE ROLE","1:M","Letter","HR POSITION SITE REASON -> PARTY GRIEVANCE ROLE"
"HR POSITION SITE REASON","PARTY JOB CLASSIFICATION","1:M","Letter","HR POSITION SITE REASON -> PARTY JOB CLASSIFICATION"
"HR POSITION SITE REASON","POSITION POSTING APPLICANT","1:M","Letter","HR POSITION SITE REASON -> POSITION POSTING APPLICANT"
"HR POSITION SITE REASON","PROMOTION OFFER SEGMENT","1:M","Letter","HR POSITION SITE REASON -> PROMOTION OFFER SEGMENT"
"HR POSITION SITE REASON","PURCHASE EVENT","1:M","Letter","HR POSITION SITE REASON -> PURCHASE EVENT"
"HR POSITION SITE REASON","RADIO STATION TYPE","1:M","Letter","HR POSITION SITE REASON -> RADIO STATION TYPE"
"HR POSITION SITE REASON","REINSURED RISK","1:M","Letter","HR POSITION SITE REASON -> REINSURED RISK"
"HR POSITION SITE REASON","SCHEDULE GROUP TYPE","1:M","Letter","HR POSITION SITE REASON -> SCHEDULE GROUP TYPE"
"HR POSITION SITE REASON","SECURITY MASTER STANDARD PRODUCTS","1:M","Letter","HR POSITION SITE REASON -> SECURITY MASTER STANDARD PRODUCTS"
"HR POSITION SITE REASON","SETTLEMENT ACCOUNT DETAILS","1:M","Letter","HR POSITION SITE REASON -> SETTLEMENT ACCOUNT DETAILS"
"HR POSITION SITE REASON","SOCIAL NETWORK ACCESS","1:M","Letter","HR POSITION SITE REASON -> SOCIAL NETWORK ACCESS"
"HR POSITION SITE REASON","STANDARD COMMENT TYPE","1:M","Letter","HR POSITION SITE REASON -> STANDARD COMMENT TYPE"
"HR POSITION SITE REASON","SURVEY EVENT REASON TYPE","1:M","Letter","HR POSITION SITE REASON -> SURVEY EVENT REASON TYPE"
"HR POSITION SITE REASON","SURVEY RESOLUTION TYPE","1:M","Letter","HR POSITION SITE REASON -> SURVEY RESOLUTION TYPE"
"HR POSITION SITE REASON","TEXT TAG","1:M","Letter","HR POSITION SITE REASON -> TEXT TAG"
"HR POSITION SITE REASON","TRAIT VALUE","1:M","Letter","HR POSITION SITE REASON -> TRAIT VALUE"
"HR POSITION SITE REASON","UNKNOWN PARTY LOCATOR","1:M","Letter","HR POSITION SITE REASON -> UNKNOWN PARTY LOCATOR"
"HR POSITION SITE REASON","VISITOR","1:M","Letter","HR POSITION SITE REASON -> VISITOR"
"HR POSITION SITE REASON","WARNING ALERT","1:M","Letter","HR POSITION SITE REASON -> WARNING ALERT"
"HR POSITION SITE REASON","WEB BANNER AD","1:M","Letter","HR POSITION SITE REASON -> WEB BANNER AD"
"HR POSITION SITE REASON","WEB SITE BREADCRUMB","1:M","Letter","HR POSITION SITE REASON -> WEB SITE BREADCRUMB"
"INCENTIVE","CAMPAIGN CELL","1:M","Incentive Id","INCENTIVE -> CAMPAIGN CELL"
"INCIDENT PERIL TYPE","DEPRECIABLE ASSET ACCOUNT PAYABLE","1:M","Insurance (all LOB)","INCIDENT PERIL TYPE -> DEPRECIABLE ASSET ACCOUNT PAYABLE"
"INCIDENT PERIL TYPE","FUNDS TRANSFER TYPE","1:M","Insurance (all LOB)","INCIDENT PERIL TYPE -> FUNDS TRANSFER TYPE"
"INCOME STATEMENT GL MAIN ACCOUNT","INCOME STATEMENT GL MAIN ACCOUNT TYPE","1:M","Income Statement GL Main Account Cd","INCOME STATEMENT GL MAIN ACCOUNT -> INCOME STATEMENT GL MAIN ACCOUNT TYPE"
"INDIRECT PAY ELEMENT TYPE","INDIRECT PAY ELEMENT","1:M","Indirect Pay Element Type Cd","INDIRECT PAY ELEMENT TYPE -> INDIRECT PAY ELEMENT"
"INTERNET PROTOCOL ADDRESS GEOGRAPHICAL MAP","TELEPHONE NUMBER","1:M","Telephone Area Code Num","INTERNET PROTOCOL ADDRESS GEOGRAPHICAL MAP -> TELEPHONE NUMBER"
"INVESTMENT POSITION","INVESTMENT POSITION SPECIFIC","1:M","Investment Position Start Dttm","INVESTMENT POSITION -> INVESTMENT POSITION SPECIFIC"
"INVESTMENT PRODUCT GROUP RISK FACTOR","BANK ACTUAL RISK LOSS","1:M","Bank Risk Factor Type Cd","INVESTMENT PRODUCT GROUP RISK FACTOR -> BANK ACTUAL RISK LOSS"
"INVESTMENT PRODUCT GROUP RISK FACTOR","FINANCIAL RISK FACTOR","1:M","Bank Risk Factor Type Cd","INVESTMENT PRODUCT GROUP RISK FACTOR -> FINANCIAL RISK FACTOR"
"INVESTMENT PRODUCT GROUP RISK FACTOR","YIELD CURVE MATURITY RISK FACTOR","1:M","Bank Risk Factor Type Cd","INVESTMENT PRODUCT GROUP RISK FACTOR -> YIELD CURVE MATURITY RISK FACTOR"
"INVOICE LINE PARTY ROLE","INVOICE LINE PARTY","1:M","Invoice Line Party Role Type Cd","INVOICE LINE PARTY ROLE -> INVOICE LINE PARTY"
"LOYALTY PROGRAM PARTY","LOYALTY PROGRAM","1:M","Reward Program Cd","LOYALTY PROGRAM PARTY -> LOYALTY PROGRAM"
"MARKET QUOTATION","INTEREST RATE QUOTATION","1:M","Quoting Party Id","MARKET QUOTATION -> INTEREST RATE QUOTATION"
"MARKET QUOTATION METRIC","MARKET QUOTATION","1:M","Market Quotation Dttm","MARKET QUOTATION METRIC -> MARKET QUOTATION"
"MARKET QUOTATION METRIC TYPE","FOREIGN EXCHANGE METRIC","1:M","Market Quotation Metric Type Cd","MARKET QUOTATION METRIC TYPE -> FOREIGN EXCHANGE METRIC"
"MARKET QUOTATION METRIC TYPE","MARKET QUOTATION METRIC","1:M","Market Quotation Metric Type Cd","MARKET QUOTATION METRIC TYPE -> MARKET QUOTATION METRIC"
"NATIONALITY TYPE","INDIVIDUAL","1:M","Nationality Cd","NATIONALITY TYPE -> INDIVIDUAL"
"NAVIGATION LEVEL","WEB SITE NAVIGATION","1:M","Navigation Level Id","NAVIGATION LEVEL -> WEB SITE NAVIGATION"
"OFFER TYPE","OFFER","1:M","Offer Type Cd","OFFER TYPE -> OFFER"
"OPPORTUNITY ASSET","OPPORTUNITY ASSET ROLE TYPE","1:M","Sales Stage Phase Cd","OPPORTUNITY ASSET -> OPPORTUNITY ASSET ROLE TYPE"
"OPPORTUNITY COMPETITOR","OPPORTUNITY PARTY","1:M","Opportunity Party Role Start Dttm","OPPORTUNITY COMPETITOR -> OPPORTUNITY PARTY"
"OPPORTUNITY STATUS TYPE","COMPETE LEVEL TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> COMPETE LEVEL TYPE"
"OPPORTUNITY STATUS TYPE","DEAL COMPLETE DAY TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> DEAL COMPLETE DAY TYPE"
"OPPORTUNITY STATUS TYPE","DECISION LEVEL TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> DECISION LEVEL TYPE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY COMPETITOR","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY COMPETITOR"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY DOCUMENT ROLE TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY DOCUMENT ROLE TYPE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY ISSUE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY ISSUE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY ISSUE RESOLVE TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY ISSUE RESOLVE TYPE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY ISSUE TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY ISSUE TYPE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY LEAD TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY LEAD TYPE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY STRATEGIC VALUE TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY STRATEGIC VALUE TYPE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY TYPE"
"OPPORTUNITY STATUS TYPE","OPPORTUNITY VISIBLE TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> OPPORTUNITY VISIBLE TYPE"
