"Entity","Attribute","DataType","PK","FK","Nullable","Description"
"AD ORDER PARTY","","N/A (LDM)","","","","This entity contains the various parties involved in the ad order. The various parties and their role include: - Advertiser: The party whose products or services will be promoted in the ad space. - Ad agency: The third party handling or facilitating the ad order between the advertiser and the publisher. Not used when the ad order is placed directly by the advertiser with the publisher. - Publisher: The party that owns or publishes the media that contains the ad space being sold. - Seller: Co"
"AD ORDER PARTY ROLE","Ad Order Party Role Cd","N/A (LDM)","Y","","","The role that a party may play with an ad order such as: - Advertiser: The party whose products or services will be promoted in the ad space. - Ad Agency: The third party handling or facilitating the ad order between the advertiser and the publisher. Not used when the ad order is placed directly by the advertiser with the publisher. - Publisher: The party that owns or publishes the media that contains the ad space being sold. - Seller: Contact person for the seller of the ad space."
"AD ORDER PARTY ROLE","Ad Order Party Role Desc","N/A (LDM)","","","","A description of the code."
"AD ORDER PRINT MEDIUM","Print Page Type Cd","N/A (LDM)","Y","","",""
"AD ORDER PRINT MEDIUM","Print Page Position Cd","N/A (LDM)","","","",""
"AD ORDER STATUS","Ad Order Status Start Dttm","N/A (LDM)","Y","","","Date and time the status is effective."
"AD ORDER STATUS","Ad Order Status End Dttm","N/A (LDM)","","","","The date and time this order status ended."
"AD ORDER STATUS TYPE","Ad Order Status Type Cd","N/A (LDM)","Y","","","Uniquely identifies an ad order status.  Examples:  - Cancelled - On hold - Complete"
"AD ORDER STATUS TYPE","Ad Order Status Type Desc","N/A (LDM)","","","","This is a description of the code."
"AD ORDER TRADITIONAL","Client Cost Amt","N/A (LDM)","Y","","","This is the client cost for this advertisement order."
"AD ORDER TRADITIONAL","Market Cost Amt","N/A (LDM)","","","","This is the market cost for this advertisement order."
"AD ORDER TRADITIONAL","Market Level Name","N/A (LDM)","","","","This is the name of the level at which this ad order applies.  Examples: - Nation - Province - City"
"AD ORDER TRADITIONAL","Rate Card Cost Amt","N/A (LDM)","","","","This is the rate card cost for this advertisement order."
"AD ORDER TRADITIONAL","Vendor Cost Amt","N/A (LDM)","","","","This is the vendor cost for this advertisement order."
